model,result,logfile
models/embedding-gecko-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_embedding-gecko-001.log
models/gemini-2.5-pro-preview-03-25,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-pro-preview-03-25.log
models/gemini-2.5-flash,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash.log
models/gemini-2.5-pro-preview-05-06,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-pro-preview-05-06.log
models/gemini-2.5-pro-preview-06-05,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-pro-preview-06-05.log
models/gemini-2.5-pro,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-pro.log
models/gemini-2.0-flash-exp,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-exp.log
models/gemini-2.0-flash,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash.log
models/gemini-2.0-flash-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-001.log
models/gemini-2.0-flash-exp-image-generation,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-exp-image-generation.log
models/gemini-2.0-flash-lite-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-lite-001.log
models/gemini-2.0-flash-lite,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-lite.log
models/gemini-2.0-flash-lite-preview-02-05,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-lite-preview-02-05.log
models/gemini-2.0-flash-lite-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-lite-preview.log
models/gemini-2.0-pro-exp,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-pro-exp.log
models/gemini-2.0-pro-exp-02-05,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-pro-exp-02-05.log
models/gemini-exp-1206,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-exp-1206.log
models/gemini-2.0-flash-thinking-exp-01-21,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-thinking-exp-01-21.log
models/gemini-2.0-flash-thinking-exp,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-thinking-exp.log
models/gemini-2.0-flash-thinking-exp-1219,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-thinking-exp-1219.log
models/gemini-2.5-flash-preview-tts,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-preview-tts.log
models/gemini-2.5-pro-preview-tts,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-pro-preview-tts.log
models/learnlm-2.0-flash-experimental,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_learnlm-2.0-flash-experimental.log
models/gemma-3-1b-it,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemma-3-1b-it.log
models/gemma-3-4b-it,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemma-3-4b-it.log
models/gemma-3-12b-it,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemma-3-12b-it.log
models/gemma-3-27b-it,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemma-3-27b-it.log
models/gemma-3n-e4b-it,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemma-3n-e4b-it.log
models/gemma-3n-e2b-it,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemma-3n-e2b-it.log
models/gemini-flash-latest,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-flash-latest.log
models/gemini-flash-lite-latest,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-flash-lite-latest.log
models/gemini-pro-latest,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-pro-latest.log
models/gemini-2.5-flash-lite,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-lite.log
models/gemini-2.5-flash-image-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-image-preview.log
models/gemini-2.5-flash-image,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-image.log
models/gemini-2.5-flash-preview-09-2025,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-preview-09-2025.log
models/gemini-2.5-flash-lite-preview-09-2025,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-lite-preview-09-2025.log
models/gemini-3-pro-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-3-pro-preview.log
models/gemini-robotics-er-1.5-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-robotics-er-1.5-preview.log
models/gemini-2.5-computer-use-preview-10-2025,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-computer-use-preview-10-2025.log
models/embedding-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_embedding-001.log
models/text-embedding-004,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_text-embedding-004.log
models/gemini-embedding-exp-03-07,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-embedding-exp-03-07.log
models/gemini-embedding-exp,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-embedding-exp.log
models/gemini-embedding-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-embedding-001.log
models/aqa,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_aqa.log
models/imagen-4.0-generate-preview-06-06,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_imagen-4.0-generate-preview-06-06.log
models/imagen-4.0-ultra-generate-preview-06-06,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_imagen-4.0-ultra-generate-preview-06-06.log
models/imagen-4.0-generate-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_imagen-4.0-generate-001.log
models/imagen-4.0-ultra-generate-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_imagen-4.0-ultra-generate-001.log
models/imagen-4.0-fast-generate-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_imagen-4.0-fast-generate-001.log
models/veo-2.0-generate-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_veo-2.0-generate-001.log
models/veo-3.0-generate-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_veo-3.0-generate-001.log
models/veo-3.0-fast-generate-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_veo-3.0-fast-generate-001.log
models/veo-3.1-generate-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_veo-3.1-generate-preview.log
models/veo-3.1-fast-generate-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_veo-3.1-fast-generate-preview.log
models/gemini-2.0-flash-live-001,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.0-flash-live-001.log
models/gemini-live-2.5-flash-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-live-2.5-flash-preview.log
models/gemini-2.5-flash-live-preview,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-live-preview.log
models/gemini-2.5-flash-native-audio-latest,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-native-audio-latest.log
models/gemini-2.5-flash-native-audio-preview-09-2025,404_not_found,C:\xampp\htdocs\DAYAW\backend\gemini_logs\test_models_gemini-2.5-flash-native-audio-preview-09-2025.log
